"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_0402";1;"LED";;;
2;"J1";"USB_Micro-B_10103594-0001LF";1;"USB_A";;;
3;"C1,C2,C4,C11,C13,C14,C16";"C_0402";7;"0.1uF";;;
4;"C3";"C_0402";1;"10nF";;;
5;"C5";"C_0402";1;"2.2uF";;;
6;"C6";"C_0402";1;"0.47uF";;;
7;"C7,C8";"C_0402";2;"1uF";;;
8;"C9,C10,C12,C17";"C_0402";4;"4.7uF";;;
9;"R1,R2,R3,R6,R12,R11";"R_0402";6;"10k";;;
10;"R4";"R_0402";1;"470";;;
11;"R5";"R_0402";1;"5.6k";;;
12;"R7,R8";"R_0402";2;"0";;;
13;"U1";"BME680";1;"BME680";;;
14;"U2";"ESP32-WROOM";1;"ESP32-WROOM";;;
15;"U3";"TPD3E001_USON_1.45mmx1mm";1;"TPD3E001";;;
16;"U5";"WSON-6_2x2mm_Pitch0.65mm";1;"LP5912";;;
17;"U6";"SOT-23-5";1;"MCP73831";;;
18;"U7";"SPK0838HT4H";1;"SPK0838HT4H-B";;;
19;"U8";"SiliconLabs_QFN-20-1EP_3x3mm_Pitch0.5mm";1;"CP2102N";;;
20;"R9,R10";"R_0402";2;"R";;;
21;"C15";"C_0402";1;"4.7uf";;;
22;"U4";"ICM20689";1;"ICM20689";;;
23;"BT1";"JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight";1;"Battery_Cell";;;
